y_true,pred_ridge,pred_transformer
3.8699939250946045,3.8293228149414062,3.750916004180908
4.1079559326171875,4.187283515930176,4.123788833618164
4.01494026184082,4.003008842468262,3.917053699493408
3.8161749839782715,3.866036891937256,3.9526357650756836
4.222950458526611,4.158185005187988,4.302731990814209
4.421077251434326,4.382744789123535,4.053746700286865
3.9937007427215576,3.8269169330596924,3.785745859146118
3.901240348815918,3.8385558128356934,3.957178831100464
3.9108376502990723,4.020343780517578,4.0117292404174805
3.9442851543426514,3.9439868927001953,4.165233612060547
3.8427340984344482,3.979188919067383,3.69770884513855
4.553045272827148,4.419548988342285,4.469290733337402
4.377069473266602,4.331109046936035,4.272182941436768
3.9322707653045654,3.9584922790527344,3.897308349609375
3.833847999572754,3.8445401191711426,3.775461196899414
3.803661823272705,3.862483501434326,3.7709827423095703
3.8248414993286133,3.881941795349121,3.967377185821533
4.425354957580566,4.298023700714111,4.421078681945801
3.811842918395996,3.882000684738159,3.978563070297241
4.083036422729492,4.045760154724121,4.177786827087402
4.019656181335449,4.123945713043213,4.186892509460449
3.7742249965667725,3.8237133026123047,3.7406694889068604
4.076967716217041,4.099691390991211,4.106686115264893
4.5090813636779785,4.427968978881836,4.4269914627075195
3.9654839038848877,3.5539839267730713,3.701230049133301
4.063070297241211,4.049787521362305,4.236035346984863
4.25897216796875,4.185634613037109,4.355055332183838
4.349782466888428,4.297213554382324,4.171546459197998
3.989271879196167,3.9430058002471924,3.9666619300842285
4.533403396606445,4.422229766845703,4.5670976638793945
4.225722789764404,3.9951179027557373,4.247541904449463
4.116939544677734,4.072641372680664,4.004796028137207
3.879669189453125,3.9449901580810547,3.8804054260253906
4.260786533355713,4.274651527404785,4.350015640258789
4.533288955688477,4.495813369750977,4.439334869384766
4.746096611022949,4.5990400314331055,4.589530944824219
4.308948516845703,4.291535377502441,4.4338059425354
3.9864583015441895,4.047669410705566,4.133633136749268
4.036628723144531,4.104540824890137,3.9815104007720947
3.838912010192871,3.844621419906616,3.780958414077759
4.460386753082275,4.376408100128174,4.534502029418945
3.9700677394866943,3.998878240585327,4.002148628234863
3.9837615489959717,4.084771156311035,4.108829021453857
3.8273046016693115,3.935661792755127,3.979578971862793
3.927421808242798,3.8550636768341064,3.964097499847412
3.745387077331543,3.8015120029449463,3.7853569984436035
4.140130996704102,4.164348125457764,4.006292819976807
4.149003505706787,4.167601585388184,4.147801876068115
4.303066253662109,4.268575668334961,4.414858341217041
3.9996089935302734,3.9869067668914795,3.974276542663574
4.088419437408447,4.045002460479736,4.100802421569824
3.8581762313842773,3.9311280250549316,3.766261100769043
4.00277042388916,3.975322961807251,3.8490631580352783
4.054383277893066,4.026033401489258,4.057397365570068
4.064607620239258,4.170173168182373,3.9118075370788574
4.180555820465088,4.143477916717529,4.171354293823242
4.648789405822754,4.428005695343018,4.641790866851807
3.8603978157043457,3.8281681537628174,3.69580078125
